"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"20","Gujarat Mineral Development Corporation Limited","GMDCLTD","P&F | F.A","14.73%","435.3","4,71,93,490"
"179","Manali Petrochemicals Limited","MANALIPETC","P&F | F.A","14.66%","79.25","2,30,31,937"
"170","Bhagyanagar India","BHAGYANGR","P&F | F.A","13.23%","106.41","10,65,776"
"132","Garuda Construction and Engineering Ltd","GARUDA","P&F | F.A","12.38%","168.68","4,66,08,505"
"119","Indo US Bio-Tech Ltd","INDOUS","P&F | F.A","10%","191.02","3,34,671"
"174","Vertoz Ltd","VERTOZ","P&F | F.A","10%","101.98","6,51,827"
"144","Cupid Limited","CUPID","P&F | F.A","9.81%","146.77","3,34,69,530"
"126","Borosil Scientific Ltd","BOROSCI","P&F | F.A","8.46%","179.59","18,53,252"
"58","Denta Water & Infra Solutions Ltd","DENTA","P&F | F.A","8.13%","344.65","88,74,851"
"25","InfoBeans Technologies Ltd","INFOBEAN","P&F | F.A","7.53%","423.6","2,26,892"
"46","Sterling Tools Limited","STERTOOLS","P&F | F.A","7.15%","377.75","10,20,812"
"173","Dhampur Bio Organics Ltd","DBOL","P&F | F.A","7.06%","103.48","3,08,381"
"182","Sonam Ltd","SONAMLTD","P&F | F.A","6.08%","53.6","2,57,608"
"175","Sinclairs Hotels Ltd","SINCLAIR","P&F | F.A","5.98%","100.67","3,79,415"
"92","Sagar Cements Limited","SAGCEM","P&F | F.A","5.92%","268.48","12,23,487"
"55","Dynemic Products Ltd","DYNPRO","P&F | F.A","5.43%","355.4","3,78,866"
"40","Eveready Industries India Limited","EVEREADY","P&F | F.A","5.25%","390","9,52,676"
"103","ITC Hotels Ltd","ITCHOTELS","P&F | F.A","5.23%","254.75","1,91,29,913"
"178","Soma Textiles & Industries Limited","SOMATEX","P&F | F.A","5%","90.54","43,422"
"140","Rama Phosphates Ltd","RAMAPHO","P&F | F.A","4.99%","154.09","82,376"
"75","NACL Industries Ltd","NACLIND","P&F | F.A","4.69%","301.78","13,33,425"
"38","Ksolves India Ltd","KSOLVES","P&F | F.A","4.64%","391.4","6,75,948"
"19","Man Industries (india) Limited","MANINDS","P&F | F.A","4.45%","436.8","5,36,091"
"31","Nippon India ETF Hang Seng Bees","HNGSNGBEES","P&F | F.A","4.36%","406.97","6,44,360"
"135","Sai Silks (Kalamandir) Ltd","KALAMANDIR","P&F | F.A","4.35%","167.47","23,79,136"
"15","Best Agrolife Ltd","BESTAGRO","P&F | F.A","4.3%","444.2","1,14,662"
"94","20 Microns Limited","20MICRONS","P&F | F.A","3.91%","264.99","14,41,882"
"42","Mahindra Lifespace Developers Limited","MAHLIFE","P&F | F.A","3.68%","382.95","10,67,184"
"22","Royal Orchid Hotels Limited","ROHLTD","P&F | F.A","3.54%","428.7","3,60,989"
"14","Gujarat Apollo Industries Limited","GUJAPOLLO","P&F | F.A","3.2%","444.5","63,437"
"5","Deep Industries Ltd","DEEPINDS","P&F | F.A","2.99%","477.3","2,87,609"
"39","Heranba Industries Ltd","HERANBA","P&F | F.A","2.89%","390.4","91,174"
"76","Sastasundar Ventures Limited","SASTASUNDR","P&F | F.A","2.84%","300.1","34,760"
"10","Chemplast Sanmar Ltd","CHEMPLASTS","P&F | F.A","2.79%","455.8","4,87,538"
"32","Krbl Limited","KRBL","P&F | F.A","2.73%","406.8","21,91,401"
"109","Bajaj Consumer Care Ltd","BAJAJCON","P&F | F.A","2.72%","240.49","13,66,740"
"87","Enviro Infra Engineers Ltd","EIEL","P&F | F.A","2.67%","285.37","4,82,67,691"
"53","Rallis India Limited","RALLIS","P&F | F.A","2.65%","362.05","24,96,422"
"47","Aries Agro Limited","ARIES","P&F | F.A","2.63%","373.25","79,616"
"172","Stallion India Fluorochemicals Ltd","STALLION","P&F | F.A","2.58%","103.82","5,45,723"
"9","CARRARO","CARRARO","P&F | F.A","2.34%","460.8","1,90,700"
"160","Omax Autos Limited","OMAXAUTO","P&F | F.A","2.27%","111.92","1,34,432"
"151","Kuantum Papers Ltd","KUANTUM","P&F | F.A","2.12%","130.74","1,40,317"
"54","Diffusion Engineers Ltd","DIFFNKG","P&F | F.A","2.09%","358.4","3,61,207"
"128","Vibhor Steel Tubes Ltd","VSTL","P&F | F.A","2.09%","176.88","21,715"
"63","DDev Plastiks Industries Ltd","DDEVPLSTIK","P&F | F.A","2.07%","322.8","3,92,317"
"171","Khaitan Chemicals & Fertilizers Ltd","KHAICHEM","P&F | F.A","2%","104.19","2,00,782"
"176","Balaji Telefilms Limited","BALAJITELE","P&F | F.A","1.99%","97.73","65,355"
"72","Kabra Extrusion Technik Limited","KABRAEXTRU","P&F | F.A","1.94%","309.75","55,819"
"161","SBI Silver ETF","SBISILVER","P&F | F.A","1.89%","111.89","5,59,449"
"168","HDFC Silver ETF","HDFCSILVER","P&F | F.A","1.89%","109.41","9,76,846"
"17","Dr Agarwals Health Care Ltd","AGARWALEYE","P&F | F.A","1.87%","438","1,41,035"
"112","Chemcon Speciality Chemicals Ltd","CHEMCON","P&F | F.A","1.87%","232.07","2,56,346"
"164","Kotak Silver ETF","SILVER1","P&F | F.A","1.85%","110.39","5,12,888"
"169","Nippon India Silver ETF","SILVERBEES","P&F | F.A","1.84%","109.11","1,33,00,521"
"77","Campus Activewear Ltd","CAMPUS","P&F | F.A","1.79%","298.8","13,87,776"
"167","DSP Silver ETF","SILVERADD","P&F | F.A","1.79%","109.67","7,49,287"
"56","Aptus Value Housing Finance India Ltd","APTUS","P&F | F.A","1.77%","350.75","14,30,879"
"162","Mirae Asset Silver ETF","SILVRETF","P&F | F.A","1.76%","110.93","1,23,819"
"156","Edelweiss Silver ETF","ESILVER","P&F | F.A","1.74%","114.04","78,299"
"114","Indo Farm Equipment Ltd","INDOFARM","P&F | F.A","1.72%","211.65","1,87,951"
"159","Axis Silver ETF","AXISILVER","P&F | F.A","1.71%","113.21","4,27,542"
"165","UTI Silver ETF","SILVERETF","P&F | F.A","1.67%","110.31","5,33,560"
"102","Parag Milk Foods Limited","PARAGMILK","P&F | F.A","1.65%","255.17","29,17,740"
"113","Le Travenues Technology Ltd","IXIGO","P&F | F.A","1.65%","217.14","5,64,80,511"
"158","ICICI Prudential Silver ETF","SILVERIETF","P&F | F.A","1.65%","113.5","55,28,650"
"73","Thirumalai Chemicals Limited","TIRUMALCHM","P&F | F.A","1.64%","309.25","10,75,568"
"66","DMCC Speciality Chemicals Ltd","DMCC","P&F | F.A","1.63%","314.4","1,53,858"
"41","Nuvoco Vistas Corporation Ltd","NUVOCO","P&F | F.A","1.59%","387.7","70,75,123"
"157","Aditya Birla Sun Life Silver ETF","SILVER","P&F | F.A","1.56%","113.59","5,21,996"
"107","Indo Borax & Chemicals Ltd","INDOBORAX","P&F | F.A","1.54%","246.57","2,69,837"
"136","Muthoot Microfin Ltd","MUTHOOTMF","P&F | F.A","1.53%","166.11","3,14,116"
"181","Ishan Dyes and chemicals Ltd","ISHANCH","P&F | F.A","1.42%","62.88","18,837"
"67","Platinum Industries Ltd","PLATIND","P&F | F.A","1.32%","314.4","5,40,009"
"177","Mufin Green Finance Ltd","MUFIN","P&F | F.A","1.25%","92.37","6,69,620"
"68","Tera Software Ltd","TERASOFT","P&F | F.A","1.23%","313.95","21,039"
"16","Latent View Analytics Ltd","LATENTVIEW","P&F | F.A","1.18%","439.95","2,88,360"
"143","Mangalore Refinery And Petrochemicals Limited","MRPL","P&F | F.A","1.16%","149.21","50,10,602"
"141","South West Pinnacle Exploration Ltd","SOUTHWEST","P&F | F.A","1.13%","153.37","22,564"
"30","Oriental Aromatics Ltd","OAL","P&F | F.A","0.97%","407.75","64,380"
"62","Gokul Agro Resources Limited","GOKULAGRO","P&F | F.A","0.94%","323.65","3,45,686"
"149","Vishal Mega Mart Ltd","VMM","P&F | F.A","0.83%","138.07","68,86,531"
"86","Mangalore Chemicals & Fertilizers Limited","MANGCHEFER","P&F | F.A","0.79%","285.6","2,25,362"
"36","Tilaknagar Industries Limited","TI","P&F | F.A","0.75%","396.75","15,50,447"
"104","Jagsonpal Pharmaceuticals Limited","JAGSNPHARM","P&F | F.A","0.7%","254.2","2,25,705"
"95","La Opala Rg Limited","LAOPALA","P&F | F.A","0.68%","264.9","78,131"
"21","CSB Bank Ltd","CSBBANK","P&F | F.A","0.64%","430.8","2,74,312"
"124","Lords Chloro Alkali Ltd","LORDSCHLO","P&F | F.A","0.62%","180.72","80,459"
"34","Eih Associated Hotels Limited","EIHAHOTELS","P&F | F.A","0.59%","400.4","24,019"
"70","Ritco Logistics Ltd","RITCO","P&F | F.A","0.58%","310.85","1,27,065"
"120","Elin Electronics Ltd","ELIN","P&F | F.A","0.58%","190","53,813"
"123","Capri Global Capital Limited","CGCL","P&F | F.A","0.58%","183.76","46,36,351"
"28","Bansal Wire Industries Ltd","BANSALWIRE","P&F | F.A","0.5%","418","2,27,888"
"93","Salona Cotspin Limited","SALONA","P&F | F.A","0.49%","267.1","1,885"
"108","Samhi Hotels Ltd","SAMHI","P&F | F.A","0.49%","245.82","9,91,585"
"127","Thomas Cook  (india)  Limited","THOMASCOOK","P&F | F.A","0.48%","178.54","40,52,681"
"82","Ramco Industries Limited","RAMCOIND","P&F | F.A","0.45%","289.9","74,394"
"35","Biocon Limited","BIOCON","P&F | F.A","0.44%","398.75","62,28,336"
"130","B&B Triplewall Containers Ltd","BBTCL","P&F | F.A","0.43%","174.68","2,655"
"166","Tamilnadu Petroproducts Limited","TNPETRO","P&F | F.A","0.39%","110.24","11,43,824"
"12","Oil India Limited","OIL","P&F | F.A","0.32%","447.9","20,54,293"
"81","Suven Life Sciences Limited","SUVEN","P&F | F.A","0.29%","291.02","1,64,612"
"33","V-guard Industries Limited","VGUARD","P&F | F.A","0.22%","405.05","2,81,584"
"1","Arvind Fashions Ltd","ARVINDFASN","P&F | F.A","0.04%","493.35","4,40,696"
"23","Delhivery Ltd","DELHIVERY","P&F | F.A","0.04%","425.45","54,40,709"
"61","Greenply Industries Limited","GREENPLY","P&F | F.A","0.03%","329.8","1,32,883"
"117","Max India Ltd","MAXIND","P&F | F.A","0.01%","202.87","66,505"
"138","Mahindra EPC Irrigation Ltd","MAHEPC","P&F | F.A","0%","155.66","15,54,034"
"3","Laxmi Dental Ltd","LAXMIDENTL","P&F | F.A","-0.02%","482.3","1,62,397"
"26","Sirca Paints India Ltd","SIRCA","P&F | F.A","-0.07%","422.05","3,00,673"
"52","Shree Pushkar Chemicals & Fertilisers Limited","SHREEPUSHK","P&F | F.A","-0.07%","363.8","1,36,574"
"152","Fedbank Financial Services Ltd","FEDFINA","P&F | F.A","-0.07%","125.99","9,83,620"
"74","Spandana Sphoorty Financial Ltd","SPANDANA","P&F | F.A","-0.08%","306.25","2,18,546"
"18","Sonata Software Limited","SONATSOFTW","P&F | F.A","-0.09%","437.05","5,31,083"
"59","Sapphire Foods India Ltd","SAPPHIRE","P&F | F.A","-0.12%","342.1","46,45,546"
"37","Gocl Corporation Limited","GOCLCORP","P&F | F.A","-0.16%","395.25","42,399"
"145","OCCL Ltd","OCCLLTD","P&F | F.A","-0.2%","142.25","38,242"
"139","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","-0.27%","154.58","34,59,494"
"91","Religare Enterprises Limited","RELIGARE","P&F | F.A","-0.33%","268.98","10,42,336"
"116","Arkade Developers Ltd","ARKADE","P&F | F.A","-0.35%","206.51","36,67,751"
"29","Mahindra Logistics Ltd","MAHLOG","P&F | F.A","-0.36%","412.15","4,36,124"
"44","Security & Intelligence Services India","SIS","P&F | F.A","-0.39%","381.25","45,085"
"57","Muthoot Capital Services Limited","MUTHOOTCAP","P&F | F.A","-0.4%","349.55","19,143"
"106","The Ruby Mills Limited","RUBYMILLS","P&F | F.A","-0.4%","248.65","13,958"
"115","Hitech Corporation","HITECHCORP","P&F | F.A","-0.48%","210.69","29,231"
"146","Vintage Coffee & Beverages Ltd","VINCOFE","P&F | F.A","-0.48%","141.98","13,38,867"
"100","Bajel Projects Ltd","BAJEL","P&F | F.A","-0.54%","256.18","59,546"
"85","Tourism Finance Corporation Of India Limited","TFCILTD","P&F | F.A","-0.55%","287.93","17,11,888"
"83","Greenpanel Industries Ltd","GREENPANEL","P&F | F.A","-0.6%","289.8","1,93,875"
"13","Arihant Superstructures Ltd","ARIHANTSUP","P&F | F.A","-0.7%","444.65","59,013"
